,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000"
25695,4,10.8,4.0,3.0,1998.0,1.83
25699,4,12.1,4.0,2.0,2001.0,0.92
25701,3,12.1,3.0,1.0,1980.0,0.765
25705,4,12.1,4.0,2.0,1980.0,0.79
25706,4,12.1,4.0,2.0,1988.0,0.87
25708,3,12.1,3.0,1.0,1970.0,0.77
25710,4,12.1,4.0,2.0,1960.0,1.08
25715,4,14.8,4.0,2.0,2003.0,0.7751
25716,4,14.8,4.0,3.0,2006.0,0.86
25717,10,10.4,10.0,9.0,2015.0,2.315
25726,4,14.7,4.0,2.0,1970.0,1.26
25730,3,14.8,3.0,2.0,2005.0,0.621
25754,4,16.6,4.0,2.0,1960.0,0.666
25762,2,3.5,2.0,1.0,1820.0,0.72
25765,5,10.1,5.0,2.0,2015.0,1.665
25766,4,10.1,4.0,2.0,1930.0,1.7
25776,4,8.7,4.0,1.0,1950.0,1.73
25784,4,17.9,4.0,2.0,1955.0,1.475
25786,3,17.9,3.0,1.0,1955.0,1.25
25787,3,17.9,3.0,2.0,1997.0,0.81
25793,3,17.9,3.0,2.0,2014.0,0.7
25794,4,17.9,4.0,2.0,1960.0,1.1
25796,5,17.5,5.0,2.0,1981.0,1.387
25799,3,16.7,3.0,2.0,2000.0,0.8
25801,3,16.7,3.0,1.0,1950.0,1.004
25807,3,3.6,3.0,1.0,1920.0,1.74
25815,4,6.7,4.0,2.0,1920.0,1.35
25817,4,6.7,4.0,1.0,1920.0,1.269
25818,3,6.7,3.0,1.0,1930.0,1.15
25819,5,6.7,5.0,3.0,2013.0,1.19
25822,4,20.6,4.0,2.0,2015.0,0.655
25823,3,20.6,3.0,1.0,2010.0,0.435
25824,4,20.6,4.0,2.0,2013.0,0.62
25825,3,20.6,3.0,2.0,2010.0,0.4505
25826,3,20.6,3.0,2.0,2009.0,0.6
25827,3,20.6,3.0,2.0,1985.0,0.563
25828,4,20.6,4.0,2.0,2011.0,0.58
25830,4,20.6,4.0,2.0,2011.0,0.75
25831,3,34.7,3.0,2.0,1975.0,0.524
25832,4,34.7,4.0,2.0,1993.0,0.9105
25836,3,23.0,3.0,1.0,1960.0,0.66
25840,4,23.0,4.0,2.0,1970.0,1.115
25841,4,23.0,4.0,2.0,2000.0,1.06
25845,4,14.0,4.0,3.0,2000.0,0.56
25846,5,14.0,5.0,3.0,2008.0,0.695
25847,3,14.0,3.0,1.0,1960.0,0.465
25854,5,24.7,5.0,3.0,1975.0,0.775
25856,3,24.7,3.0,2.0,1980.0,0.6518
25858,3,24.7,3.0,1.0,1975.0,0.574
25860,3,14.8,3.0,1.0,1960.0,0.765
25863,4,14.7,4.0,2.0,2009.0,0.73
25867,5,22.2,5.0,3.0,2016.0,1.526
25869,3,12.4,3.0,2.0,1970.0,1.3435
25870,4,12.4,4.0,2.0,1983.0,1.5
25871,3,12.4,3.0,1.0,1980.0,1.49
25875,3,14.3,3.0,1.0,1968.0,1.155
25876,4,14.3,4.0,2.0,1970.0,1.105
25877,4,14.3,4.0,2.0,1984.0,1.45
25878,5,14.3,5.0,3.0,1985.0,1.25
25880,3,14.3,3.0,2.0,1970.0,1.38
25886,3,25.9,3.0,2.0,2010.0,0.6955
25887,3,28.8,3.0,2.0,2014.0,0.512
25895,3,18.0,3.0,1.0,1960.0,0.8
25900,3,7.2,3.0,1.0,1930.0,1.64
25901,2,7.2,2.0,1.0,1950.0,0.8
25906,3,19.6,3.0,1.0,1970.0,0.625
25907,3,19.6,3.0,1.0,1990.0,0.6205
25910,4,19.6,4.0,1.0,1980.0,0.656
25911,3,19.6,3.0,1.0,2004.0,0.47
25912,4,7.5,4.0,2.0,1925.0,1.507
25914,2,7.5,2.0,1.0,1990.0,0.88
25919,2,8.2,2.0,1.0,1950.0,0.75
25921,4,5.7,4.0,2.0,1920.0,1.9
25927,4,13.1,4.0,3.0,2012.0,0.85
25932,2,2.1,2.0,2.0,1900.0,1.575
25934,4,2.1,4.0,2.0,1970.0,2.2
25937,4,2.1,4.0,1.0,1900.0,2.07
25943,3,3.6,3.0,1.0,1890.0,1.26
25945,4,3.4,4.0,2.0,1910.0,1.6
25946,3,3.4,3.0,1.0,1910.0,1.161
25956,4,38.0,4.0,1.0,1980.0,0.6
25957,4,38.0,4.0,2.0,2012.0,0.665
25958,3,38.0,3.0,2.0,1940.0,1.4975
25960,3,38.0,3.0,1.0,1960.0,0.8
25961,4,38.0,4.0,2.0,1977.0,0.67
25963,3,38.0,3.0,1.0,1980.0,0.625
25965,4,12.9,4.0,3.0,1980.0,0.76
25967,3,12.9,3.0,1.0,1960.0,0.665
25975,4,7.3,4.0,2.0,1928.0,2.32
25987,4,16.7,4.0,2.0,1960.0,1.3
25988,4,16.7,4.0,1.0,1955.0,1.5
25994,3,11.2,3.0,1.0,1950.0,0.78
25996,1,12.9,1.0,1.0,2017.0,0.29
25997,4,12.9,4.0,2.0,2002.0,0.79
25999,4,16.1,4.0,2.0,1980.0,0.708
26000,4,16.1,4.0,2.0,1997.0,0.92
26002,3,16.1,3.0,2.0,1980.0,0.985
26006,4,20.4,4.0,2.0,2009.0,0.7
26008,6,20.4,6.0,2.0,1990.0,1.4
26009,5,11.2,5.0,3.0,1950.0,1.0775
26010,2,11.2,2.0,2.0,2012.0,0.665
26014,4,13.8,4.0,2.0,1920.0,2.025
26026,1,5.3,3.0,2.0,1995.0,0.502
26030,3,5.3,3.0,2.0,2000.0,1.55
26036,3,6.2,3.0,2.0,1996.0,1.5
26038,3,6.2,3.0,1.0,1930.0,1.35
26041,4,21.3,4.0,2.0,1950.0,0.9
26042,5,21.3,5.0,3.0,1978.0,0.96
26047,2,8.8,2.0,1.0,2000.0,0.602
26058,2,16.0,2.0,1.0,1950.0,0.9
26063,5,16.0,5.0,3.0,2015.0,1.776
26064,3,16.0,3.0,2.0,1950.0,1.1
26066,4,18.0,4.0,2.0,1997.0,0.681
26067,4,18.0,4.0,2.0,1995.0,0.6821
26069,3,18.4,3.0,1.0,1980.0,0.5
26070,3,18.4,3.0,2.0,1972.0,0.525
26073,4,18.4,4.0,2.0,2003.0,0.47
26074,3,18.4,3.0,1.0,1990.0,0.515
26075,4,18.4,4.0,2.0,1978.0,0.593
26081,4,7.8,4.0,2.0,2011.0,1.3
26089,4,14.0,4.0,3.0,1960.0,0.616
26091,4,14.5,4.0,3.0,1985.0,1.21
26093,4,15.5,5.0,3.0,1998.0,0.9
26098,3,3.4,3.0,1.0,1994.0,0.85
26107,5,5.4,5.0,2.0,1960.0,2.32
26109,3,5.4,3.0,1.0,1890.0,1.752
26119,3,26.0,3.0,2.0,1970.0,0.651
26122,3,6.4,3.0,2.0,1910.0,1.18
26123,3,6.4,3.0,2.0,1910.0,1.17
26125,3,31.7,3.0,2.0,2008.0,0.33
26127,3,31.7,3.0,2.0,2010.0,0.389
26136,4,6.4,4.0,1.0,1955.0,1.19
26141,3,5.9,3.0,1.0,1907.0,1.985
26146,4,8.4,4.0,3.0,1920.0,2.09
26154,3,4.3,3.0,2.0,2007.0,0.75
26156,4,4.3,4.0,3.0,1910.0,1.765
26163,3,17.4,3.0,2.0,1992.0,0.46
26170,3,29.8,3.0,2.0,1960.0,0.393
26171,3,29.8,3.0,1.0,1980.0,0.413
26173,3,29.8,3.0,2.0,1975.0,0.4775
26174,3,31.7,3.0,1.0,1975.0,0.375
26179,4,20.0,4.0,2.0,2011.0,1.47
26183,4,25.9,4.0,2.0,2011.0,0.609
26184,4,25.9,4.0,2.0,2011.0,0.622
26187,4,25.9,4.0,2.0,2008.0,0.84
26191,4,3.0,4.0,2.0,1900.0,1.835
26195,3,17.9,3.0,2.0,1994.0,0.744
26196,5,17.9,5.0,2.0,1990.0,0.65
26197,5,17.9,5.0,2.0,1985.0,0.8
26198,3,17.9,3.0,1.0,1990.0,0.625
26200,4,17.9,4.0,2.0,1978.0,0.688
26201,3,17.9,3.0,1.0,1980.0,0.705
26203,3,17.9,3.0,2.0,1990.0,0.755
26204,4,17.9,4.0,2.0,1980.0,0.705
26206,4,17.9,4.0,1.0,1990.0,0.654
26207,3,17.2,3.0,1.0,1970.0,1.05
26212,5,17.2,5.0,3.0,1972.0,1.23
26215,3,10.2,3.0,2.0,2000.0,1.52
26220,4,16.2,4.0,2.0,1996.0,1.375
26223,3,6.2,3.0,2.0,1900.0,1.635
26225,3,14.3,3.0,1.0,1960.0,1.05
26226,3,14.3,3.0,1.0,1950.0,1.305
26227,4,14.3,4.0,2.0,1950.0,1.44
26229,3,26.5,3.0,1.0,1980.0,0.87
26230,5,26.5,5.0,2.0,1990.0,0.906
26233,3,21.5,3.0,2.0,2009.0,0.87
26234,3,21.5,3.0,1.0,2000.0,0.792
26236,4,21.5,4.0,3.0,1980.0,1.35
26237,3,14.2,3.0,1.0,1970.0,1.19
26244,4,18.8,4.0,2.0,1970.0,1.028
26245,3,18.8,3.0,2.0,2009.0,0.678
26246,3,10.1,3.0,2.0,2000.0,0.951
26248,3,10.1,3.0,1.0,1950.0,1.72
26251,3,6.2,3.0,1.0,1900.0,0.96
26253,3,6.2,3.0,2.0,2003.0,0.932
26255,3,10.4,3.0,1.0,1950.0,1.23
26261,3,22.7,3.0,1.0,1965.0,0.79
26264,2,21.1,2.0,1.0,1950.0,0.698
26271,4,5.3,4.0,1.0,1925.0,1.62
26272,3,5.3,3.0,2.0,1900.0,1.05
26273,4,5.3,4.0,3.0,2017.0,2.25
26275,4,5.3,4.0,2.0,2007.0,2.295
26276,1,5.3,1.0,1.0,1960.0,0.3815
26277,5,5.3,5.0,3.0,1952.0,2.21
26278,3,15.4,3.0,2.0,1945.0,1.491
26279,3,15.4,3.0,2.0,1980.0,1.2
26283,5,12.3,5.0,3.0,1950.0,1.225
26285,4,15.5,4.0,2.0,1995.0,0.986
26286,3,15.5,3.0,2.0,1970.0,1.0
26292,5,47.3,5.0,2.0,2006.0,0.49
26293,4,21.5,4.0,2.0,2016.0,1.875
26298,3,21.5,3.0,1.0,1960.0,1.4
26306,4,8.5,4.0,1.0,1955.0,0.89
26309,4,8.5,4.0,2.0,1930.0,1.1
26311,4,14.7,4.0,2.0,2009.0,0.773
26316,4,14.7,4.0,2.0,2011.0,0.49
26317,4,14.7,4.0,2.0,2003.0,0.725
26319,3,14.7,3.0,2.0,2010.0,0.753
26322,3,3.5,3.0,2.0,2000.0,2.2
26324,3,3.5,3.0,2.0,1910.0,1.92
26331,3,3.5,3.0,2.0,1910.0,1.585
26336,3,4.6,3.0,1.0,1900.0,1.96
26337,2,4.6,2.0,1.0,1890.0,1.3
26343,3,8.4,3.0,1.0,1960.0,0.833
26345,4,8.4,4.0,2.0,1930.0,1.04
26348,2,8.4,2.0,1.0,1940.0,0.96
26352,3,8.4,3.0,2.0,2016.0,1.171
26353,4,8.4,4.0,3.0,2016.0,1.205
26356,2,3.5,2.0,1.0,1890.0,1.6
26359,3,18.0,3.0,1.0,1970.0,0.72
26380,2,2.4,2.0,2.0,2010.0,1.25
26390,3,21.3,3.0,2.0,2014.0,0.914888
26393,3,8.9,3.0,1.0,1960.0,1.05
26398,3,20.6,3.0,2.0,1999.0,0.5225
26399,4,20.6,4.0,2.0,1995.0,0.477
26401,7,20.6,7.0,3.0,2002.0,0.86
26418,3,20.5,3.0,1.0,1987.0,0.611
26421,3,20.5,3.0,2.0,2014.0,0.4335
26423,3,2.7,3.0,2.0,1925.0,1.7
26424,2,2.7,2.0,1.0,2000.0,1.35
26442,3,20.8,3.0,2.0,1970.0,0.93
26444,3,14.0,3.0,1.0,1955.0,0.6
26447,3,14.0,3.0,1.0,1960.0,0.785
26448,4,14.0,4.0,2.0,1960.0,0.737
26450,3,14.0,3.0,1.0,1970.0,0.57
26457,4,5.0,4.0,2.0,1980.0,1.63
26460,4,8.2,4.0,2.0,1930.0,1.96
26463,4,8.2,4.0,2.0,2003.0,1.37
26464,4,8.2,4.0,3.0,1980.0,1.61
26467,3,31.7,3.0,2.0,2010.0,0.566
26468,4,31.7,4.0,2.0,2000.0,0.65
26469,4,31.7,4.0,2.0,2002.0,0.711
26471,3,31.7,3.0,2.0,1986.0,0.53
26475,4,10.5,4.0,2.0,1940.0,1.05
26478,3,10.5,3.0,1.0,1960.0,0.71
26479,3,10.5,3.0,2.0,2010.0,0.77
26483,5,10.2,5.0,3.0,1977.0,2.325
26492,4,10.2,4.0,3.0,1963.0,2.1
26497,5,18.0,5.0,2.0,2000.0,0.645
26501,4,18.0,4.0,2.0,2009.0,0.79
26503,3,18.0,3.0,2.0,2009.0,0.61
26504,4,18.0,4.0,2.0,2002.0,0.692
26506,4,15.5,4.0,2.0,2000.0,1.3
26511,4,15.5,4.0,2.0,1980.0,1.7
26515,3,12.4,3.0,2.0,2007.0,1.02
26518,4,12.4,4.0,3.0,1980.0,1.301
26519,3,12.4,3.0,2.0,1970.0,1.05
26520,6,12.4,6.0,3.0,1980.0,1.71
26522,3,15.3,3.0,2.0,1985.0,0.716
26526,2,7.0,2.0,1.0,1955.0,1.17
26540,3,17.2,3.0,2.0,1960.0,1.15
26544,4,17.2,4.0,1.0,1980.0,1.133
26546,3,17.2,3.0,2.0,1960.0,1.06
26550,3,8.9,3.0,1.0,1980.0,0.82
26552,4,8.9,4.0,1.0,1970.0,0.98
26553,3,44.2,3.0,1.0,1985.0,0.484
26554,4,14.7,4.0,2.0,1976.0,0.952
26561,3,14.7,3.0,1.0,1979.0,0.48
26563,5,14.7,5.0,2.0,1990.0,0.575
26565,4,6.4,4.0,2.0,1926.0,1.6
26567,3,6.4,3.0,1.0,1950.0,0.881
26570,4,3.1,4.0,1.0,1880.0,1.23
26572,3,3.1,3.0,1.0,1880.0,1.19
26573,3,16.5,3.0,2.0,2017.0,0.49
26577,4,17.6,4.0,2.0,2008.0,0.615
26580,3,6.8,3.0,2.0,1910.0,1.69
26582,3,6.8,3.0,2.0,1994.0,1.26
26583,4,6.8,4.0,2.0,1900.0,1.665
26584,3,4.6,3.0,1.0,1980.0,1.9
26586,4,25.5,4.0,2.0,2013.0,0.6
26591,3,6.3,3.0,1.0,1960.0,0.985
26594,3,6.3,3.0,1.0,1950.0,0.861
26598,3,14.8,3.0,2.0,2003.0,0.56
26606,3,25.2,3.0,1.0,1969.0,0.771
26608,2,6.4,2.0,1.0,1950.0,0.6115
26610,4,34.1,4.0,3.0,1980.0,0.675
26611,3,22.7,3.0,1.0,1959.0,0.6275
26612,3,12.0,3.0,1.0,1990.0,0.475
26613,4,20.6,4.0,2.0,1995.0,0.591
26616,4,16.5,4.0,2.0,1960.0,0.791
26619,3,23.2,3.0,1.0,1965.0,0.75
26620,4,35.2,4.0,2.0,1994.0,0.815
26624,2,27.0,2.0,1.0,1998.0,0.58
26626,3,17.9,3.0,2.0,2017.0,1.011
26627,3,17.5,3.0,1.0,1960.0,1.0
26628,3,17.5,3.0,1.0,1960.0,0.75
26629,3,20.6,3.0,2.0,2009.0,0.595
26632,4,20.6,4.0,2.0,2014.0,0.63
26633,4,20.6,4.0,2.0,1995.0,0.54
26634,3,23.0,3.0,2.0,2010.0,0.952
26638,4,12.4,4.0,2.0,1970.0,1.325
26639,5,12.4,5.0,2.0,1980.0,1.35
26643,3,24.8,3.0,1.0,1960.0,0.754
26645,5,38.0,5.0,3.0,1983.0,0.655888
26652,5,20.4,5.0,3.0,2005.0,0.735
26656,3,18.4,3.0,2.0,1985.0,0.621
26662,3,29.8,3.0,1.0,1970.0,0.413
26663,3,29.8,3.0,1.0,1990.0,0.4315
26664,3,29.8,3.0,1.0,1980.0,0.72
26665,4,17.2,4.0,2.0,1982.0,1.111
26666,3,6.2,3.0,1.0,1930.0,1.4
26667,3,6.2,3.0,1.0,1910.0,1.275
26668,3,21.5,3.0,2.0,1980.0,0.85
26672,1,14.2,1.0,1.0,2017.0,1.82
26674,3,5.3,3.0,1.0,1980.0,1.085
26685,4,14.7,4.0,2.0,2002.0,0.635
26686,4,14.7,4.0,3.0,2015.0,0.758
26689,4,8.4,4.0,1.0,1965.0,0.905
26693,4,23.5,4.0,2.0,2002.0,0.9
26705,4,18.4,4.0,2.0,2016.0,0.603
26709,4,17.2,4.0,2.0,2005.0,1.56
26711,3,44.2,3.0,1.0,1985.0,0.411
26714,5,21.1,5.0,3.0,1985.0,1.162
26718,3,27.2,3.0,2.0,1995.0,0.496
26720,2,3.0,2.0,1.0,1900.0,1.3
26725,3,7.5,3.0,2.0,2013.0,1.15
26726,4,14.0,4.0,1.0,1978.0,0.56
26738,3,9.4,3.0,1.0,1970.0,0.84
26739,4,9.4,4.0,3.0,2010.0,0.94
26741,2,9.4,2.0,1.0,1986.0,1.025
26746,2,4.3,2.0,2.0,1950.0,1.365
26758,3,9.5,3.0,2.0,1980.0,1.1
26760,3,9.5,3.0,2.0,1970.0,0.79
26775,4,17.3,4.0,2.0,1980.0,1.9575
26779,6,17.3,6.0,4.0,1980.0,1.776
26782,3,11.4,3.0,2.0,2001.0,1.208
26789,3,13.8,3.0,1.0,1950.0,0.886
26793,4,13.8,4.0,2.0,1950.0,1.54
26796,3,13.8,3.0,1.0,1955.0,1.16
26805,4,13.4,4.0,2.0,1950.0,1.79
26810,4,27.0,4.0,2.0,1965.0,1.12
26817,4,10.9,4.0,2.0,1930.0,1.875
26819,3,8.6,3.0,2.0,2014.0,0.8
26840,5,10.3,5.0,2.0,1940.0,1.95
26843,4,14.0,4.0,1.0,1960.0,0.605
26845,4,14.0,4.0,1.0,1970.0,0.605
26851,2,5.2,2.0,1.0,1900.0,1.34
26855,2,4.0,2.0,1.0,1910.0,0.907
26859,2,4.0,2.0,1.0,1940.0,1.0
26860,3,4.0,3.0,1.0,1930.0,1.07
26862,3,5.2,3.0,2.0,1920.0,1.4
26863,3,5.2,3.0,2.0,1960.0,1.085
26874,4,12.1,4.0,3.0,2012.0,1.755
26876,4,14.8,4.0,2.0,1999.0,0.665
26877,3,14.8,3.0,2.0,2000.0,0.62
26878,4,14.8,4.0,2.0,2007.0,0.575
26891,3,3.5,3.0,1.0,1890.0,1.65
26898,3,31.2,3.0,1.0,1955.0,0.7125
26907,4,27.0,4.0,2.0,1940.0,0.8725
26912,3,17.5,3.0,1.0,1975.0,0.862
26917,2,3.6,2.0,1.0,1900.0,1.155
26920,3,6.7,3.0,2.0,1920.0,1.27
26923,2,6.7,2.0,1.0,1880.0,0.698
26927,3,6.7,3.0,1.0,1959.0,0.822
26931,4,20.6,4.0,2.0,2017.0,0.53
26932,3,20.6,3.0,1.0,1975.0,0.57
26934,3,20.6,3.0,2.0,1985.0,0.528
26935,4,20.6,4.0,2.0,2010.0,0.648
26937,5,20.6,5.0,2.0,2010.0,0.741
26938,3,34.7,3.0,1.0,1975.0,0.521
26943,2,23.0,2.0,1.0,1960.0,0.935
26945,3,23.0,3.0,2.0,1985.0,0.887
26946,3,14.0,3.0,1.0,1965.0,0.480888
26948,4,24.7,4.0,2.0,2014.0,0.76
26950,3,24.7,3.0,2.0,1970.0,0.792
26953,3,18.0,3.0,2.0,1995.0,0.6
26954,3,18.0,3.0,2.0,1995.0,0.6
26955,4,14.7,4.0,2.0,2012.0,0.748
26956,4,27.7,4.0,2.0,1985.0,0.501
26958,4,22.2,4.0,2.0,1970.0,0.89
26962,5,12.4,5.0,3.0,1965.0,1.5
26966,4,14.3,4.0,2.0,1970.0,1.268
26968,4,14.3,4.0,2.0,1990.0,1.128
26972,4,16.1,4.0,2.0,1985.0,1.28
26973,3,25.9,3.0,2.0,2012.0,0.578
26974,4,7.2,4.0,2.0,1910.0,2.201
26977,3,18.0,3.0,2.0,1960.0,0.9165
26997,3,13.1,3.0,1.0,1970.0,0.723
26999,4,24.8,4.0,3.0,1950.0,0.84
27008,4,5.1,4.0,1.0,1930.0,1.095
27010,2,5.1,2.0,2.0,2017.0,0.685
27013,4,15.4,4.0,2.0,1970.0,1.12
27030,5,16.7,5.0,4.0,1999.0,1.95
27033,3,16.7,3.0,2.0,1965.0,1.1
27054,4,13.8,4.0,2.0,1950.0,1.467
27056,3,13.8,3.0,2.0,1950.0,1.246
27066,2,6.2,2.0,1.0,1900.0,1.09
27069,4,21.3,4.0,2.0,1960.0,1.126
27073,3,8.8,3.0,1.0,1960.0,0.86
27077,3,18.0,3.0,2.0,1994.0,0.66
27079,4,18.4,4.0,2.0,1996.0,0.5515
27083,3,18.4,3.0,3.0,1998.0,0.585
27084,3,18.4,3.0,2.0,1985.0,0.525
27086,3,12.3,3.0,3.0,1920.0,1.407
27088,3,7.8,3.0,2.0,2005.0,1.465
27089,4,7.8,4.0,2.0,2000.0,1.865
27092,4,11.7,4.0,2.0,1970.0,0.81
27094,3,11.7,3.0,2.0,2009.0,0.965
27103,4,5.4,4.0,2.0,1910.0,2.0
27105,3,7.3,3.0,2.0,1929.0,1.975
27111,4,25.2,4.0,2.0,2012.0,1.0515
27112,4,26.0,4.0,2.0,1970.0,0.906
27129,3,6.4,3.0,2.0,1940.0,0.875
27137,3,4.3,3.0,2.0,2006.0,1.245
27138,2,4.3,2.0,1.0,1950.0,0.495
27147,4,31.7,4.0,2.0,1970.0,0.579
27148,3,31.7,3.0,2.0,1975.0,0.52
27150,12,31.7,12.0,5.0,1970.0,0.71
27151,3,29.8,3.0,1.0,1975.0,0.58
27152,4,31.7,4.0,1.0,1980.0,0.356
27154,3,20.0,3.0,3.0,2010.0,0.825
27162,4,25.9,4.0,2.0,2016.0,0.55
27165,3,17.9,3.0,2.0,2000.0,0.66
27168,4,17.9,4.0,2.0,1982.0,0.665
27181,4,14.3,4.0,2.0,1950.0,1.3
27183,3,26.5,3.0,1.0,1970.0,0.715
27194,5,14.2,5.0,3.0,1967.0,1.3
27199,4,18.8,4.0,2.0,2010.0,1.375
27202,3,10.1,3.0,1.0,1950.0,1.42
27203,3,10.1,3.0,2.0,1930.0,1.45
27205,3,10.1,3.0,1.0,1990.0,1.45
27206,4,6.2,4.0,2.0,2009.0,1.23
27216,4,5.3,4.0,2.0,1940.0,1.6
27217,3,5.3,3.0,2.0,1930.0,0.8925
27218,3,5.3,3.0,2.0,2000.0,1.2
27222,4,5.3,4.0,2.0,1927.0,1.85
27228,5,11.2,5.0,4.0,1925.0,1.39
27229,3,12.3,3.0,2.0,1950.0,0.997
27232,4,15.5,4.0,2.0,1975.0,1.175
27240,3,1.8,3.0,2.0,1860.0,1.35
27249,3,14.7,3.0,1.0,2004.0,0.552
27251,3,14.7,3.0,2.0,2000.0,0.673
27254,4,3.5,4.0,2.0,1890.0,1.67
27256,2,4.6,2.0,1.0,1890.0,1.0
27261,3,8.4,3.0,2.0,2014.0,1.18
27268,3,12.0,3.0,2.0,1960.0,0.57
27276,3,12.0,3.0,1.0,1980.0,0.821
27280,3,12.0,3.0,1.0,1950.0,1.076
27291,3,2.4,3.0,2.0,1900.0,1.4
27295,3,21.3,3.0,2.0,2017.0,0.89
27303,3,20.6,3.0,2.0,2000.0,0.57
27304,4,20.6,4.0,2.0,2000.0,0.61
27305,4,20.6,4.0,3.0,1990.0,0.5775
27309,4,15.2,4.0,2.0,1920.0,1.75
27310,4,15.5,4.0,2.0,1999.0,0.759
27316,2,1.9,2.0,1.0,1900.0,1.22
27321,3,20.5,3.0,1.0,1990.0,0.52
27327,3,2.7,3.0,1.0,1910.0,1.64
27328,2,2.7,2.0,1.0,1990.0,0.77
27330,3,2.7,3.0,2.0,1995.0,1.56
27333,4,6.2,4.0,2.0,2016.0,1.2
27338,3,14.0,3.0,1.0,1965.0,0.695
27339,3,14.0,3.0,2.0,2000.0,0.68
27343,3,14.0,3.0,1.0,1970.0,0.59
27347,3,5.0,3.0,2.0,1920.0,2.102
27348,3,8.2,3.0,3.0,1998.0,1.64
27349,3,31.7,3.0,1.0,1982.0,0.48
27350,4,31.7,4.0,2.0,2003.0,0.84
27352,3,31.7,3.0,2.0,2010.0,0.78
27355,3,10.5,3.0,1.0,1970.0,0.748
27356,4,10.5,4.0,2.0,2014.0,0.9105
27358,3,10.5,3.0,1.0,1955.0,0.8
27366,4,18.0,4.0,2.0,2006.0,0.675
27367,3,15.5,3.0,2.0,1990.0,0.682
27371,3,12.4,3.0,1.0,1965.0,1.5
27373,5,12.4,5.0,3.0,1980.0,1.506
27375,3,15.3,3.0,1.0,1960.0,0.665
27377,3,7.0,3.0,1.0,1915.0,1.72
27381,2,7.0,2.0,1.0,1995.0,0.83
27387,3,12.9,3.0,2.0,1960.0,0.7
27395,4,17.2,4.0,2.0,1972.0,1.32
27399,5,14.7,5.0,2.0,1980.0,1.25
27401,3,14.7,3.0,2.0,1985.0,1.05
27404,3,21.5,3.0,2.0,2011.0,0.651
27407,3,14.5,3.0,1.0,1960.0,0.765
27409,4,14.7,4.0,2.0,2000.0,0.4905
27411,3,14.7,3.0,1.0,1975.0,0.545
27414,2,14.7,2.0,1.0,1950.0,0.547
27422,3,16.5,3.0,1.0,1970.0,0.5475
27423,4,16.5,4.0,2.0,1974.0,0.755
27424,3,16.7,3.0,2.0,1980.0,1.0785
27429,4,17.6,4.0,2.0,2010.0,0.85
27430,3,6.8,3.0,1.0,1930.0,1.8
27432,3,6.8,3.0,2.0,1910.0,1.35
27436,3,25.5,3.0,2.0,2015.0,0.58
27437,4,25.5,4.0,2.0,2015.0,0.642
27438,3,25.5,3.0,2.0,2012.0,0.49
27439,4,25.5,4.0,2.0,2015.0,0.88
27441,5,12.7,5.0,3.0,1985.0,0.99
27442,3,12.7,3.0,2.0,1990.0,0.781
27445,3,6.3,3.0,1.0,1950.0,1.04
27447,4,6.3,4.0,2.0,1950.0,0.85
27450,4,7.5,4.0,2.0,1950.0,1.7
27451,5,7.5,5.0,2.0,1925.0,1.825
27461,3,11.0,3.0,1.0,1970.0,1.01
27463,3,15.5,3.0,2.0,2002.0,0.5415
27464,4,15.5,4.0,2.0,1970.0,0.82
27471,5,4.3,5.0,3.0,1920.0,1.325
27474,3,4.3,3.0,2.0,1890.0,1.75
27479,4,9.5,4.0,2.0,1980.0,0.95
27480,4,9.5,4.0,2.0,1970.0,1.068
27509,5,17.3,5.0,2.0,2000.0,1.95
27515,4,11.4,4.0,3.0,2012.0,1.37
27520,5,13.8,5.0,2.0,1960.0,1.26
27524,4,13.8,4.0,2.0,2013.0,1.3
27526,4,13.8,4.0,2.0,2013.0,1.64
27541,4,13.4,4.0,2.0,1978.0,1.065
27546,4,34.7,4.0,2.0,2010.0,0.75
27564,3,10.3,3.0,2.0,2000.0,0.95
27566,3,10.3,3.0,3.0,2017.0,2.1
27583,4,5.2,4.0,2.0,1925.0,1.47
27584,5,4.0,5.0,4.0,2001.0,1.475
27585,4,4.0,4.0,3.0,1950.0,1.895
27587,2,5.2,2.0,1.0,2011.0,0.4205
27597,4,10.8,4.0,2.0,1898.0,1.225
27598,6,45.9,6.0,4.0,1983.0,1.43
27599,3,12.1,3.0,2.0,1930.0,0.88
27600,3,12.1,3.0,2.0,1984.0,0.8
27601,3,12.1,3.0,2.0,1970.0,0.8205
27604,3,12.1,3.0,2.0,1980.0,0.853
27614,3,10.4,3.0,1.0,1960.0,1.3
27615,3,14.7,3.0,2.0,1960.0,0.97
27619,5,7.7,5.0,2.0,1918.0,2.23
27628,3,10.1,3.0,2.0,1999.0,1.26
27629,4,31.2,4.0,1.0,1960.0,0.98
27630,3,34.9,3.0,2.0,1995.0,0.56
27643,4,11.7,4.0,1.0,1960.0,1.15
27647,5,17.9,5.0,2.0,1950.0,1.495
27659,3,3.6,3.0,2.0,1920.0,1.6
27662,3,6.7,3.0,1.0,1940.0,0.97
27669,3,6.7,3.0,1.0,1910.0,0.935
27671,3,6.7,3.0,2.0,2014.0,0.735
27672,3,33.0,3.0,2.0,1980.0,0.63
27673,3,2.0,3.0,2.0,1890.0,1.46
27674,3,20.6,3.0,2.0,1980.0,0.6
